Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-11-17,0.274,0.2799,0.2673,0.2797,701606.00000000,2022-11-17 23:59:59.999000064,191891.22240000,1284,350589.00000000,95865.15530000,0
2022-11-18,0.2805,0.2863,0.2712,0.273,241094.00000000,2022-11-18 23:59:59.999000064,66825.73730000,584,96523.00000000,26720.88480000,0
2022-11-19,0.2721,0.2888,0.265,0.2794,502735.00000000,2022-11-19 23:59:59.999000064,138784.37890000,1274,239078.00000000,66441.70520000,0
2022-11-20,0.282,0.295,0.2633,0.2723,1119736.00000000,2022-11-20 23:59:59.999000064,317250.37280000,2037,575126.00000000,162348.08280000,0
2022-11-21,0.2703,0.2721,0.2508,0.265,772341.00000000,2022-11-21 23:59:59.999000064,200401.68080000,1282,344853.00000000,89464.48520000,0
2022-11-22,0.2661,0.2773,0.2499,0.2747,781710.00000000,2022-11-22 23:59:59.999000064,205525.14380000,1381,493348.00000000,129973.05170000,0
2022-11-23,0.273,0.2851,0.2714,0.2845,457537.00000000,2022-11-23 23:59:59.999000064,127489.16630000,1355,217158.00000000,60507.39120000,0
2022-11-24,0.284,0.2931,0.2761,0.2817,759820.00000000,2022-11-24 23:59:59.999000064,215898.23610000,1651,359888.00000000,102836.87300000,0
2022-11-25,0.2809,0.2911,0.275,0.2849,822755.00000000,2022-11-25 23:59:59.999000064,233563.46690000,1712,343495.00000000,97627.22420000,0
2022-11-26,0.2866,0.3016,0.2774,0.289,1286694.00000000,2022-11-26 23:59:59.999000064,372369.22130000,2350,630253.00000000,183283.49000000,0
2022-11-27,0.2899,0.3196,0.2894,0.295,2735671.00000000,2022-11-27 23:59:59.999000064,836047.41420000,5687,1219108.00000000,372627.96830000,0
2022-11-28,0.2965,0.2976,0.2768,0.2899,933313.00000000,2022-11-28 23:59:59.999000064,268485.41500000,1737,426790.00000000,123000.62630000,0
2022-11-29,0.2895,0.31,0.288,0.3026,606311.00000000,2022-11-29 23:59:59.999000064,182648.04260000,1393,311631.00000000,93948.20720000,0
2022-11-30,0.3023,0.313,0.298,0.3106,732808.00000000,2022-11-30 23:59:59.999000064,223731.39050000,1562,294750.00000000,90160.98800000,0
2022-12-01,0.3122,0.327,0.3019,0.3041,797977.00000000,2022-12-01 23:59:59.999000064,250132.27860000,2082,357796.00000000,112492.49730000,0
2022-12-02,0.3049,0.3422,0.2995,0.3108,2064683.00000000,2022-12-02 23:59:59.999000064,651187.97580000,3389,1256130.00000000,396345.45090000,0
2022-12-03,0.3112,0.3137,0.3038,0.3043,597083.00000000,2022-12-03 23:59:59.999000064,184047.61870000,986,276539.00000000,85320.39380000,0
2022-12-04,0.3043,0.3213,0.3002,0.3072,2238489.00000000,2022-12-04 23:59:59.999000064,689525.22620000,1969,1312148.00000000,402286.01060000,0
2022-12-05,0.3072,0.3141,0.2983,0.3076,376462.00000000,2022-12-05 23:59:59.999000064,115702.44750000,869,140161.00000000,43084.55700000,0
2022-12-06,0.3085,0.3098,0.303,0.3079,232295.00000000,2022-12-06 23:59:59.999000064,71068.03560000,657,95429.00000000,29250.92490000,0
2022-12-07,0.3068,0.312,0.2899,0.298,726659.00000000,2022-12-07 23:59:59.999000064,217491.06280000,1594,406873.00000000,121834.92810000,0
2022-12-08,0.298,0.3045,0.2907,0.3038,239783.00000000,2022-12-08 23:59:59.999000064,71233.86430000,616,103319.00000000,30789.74310000,0
2022-12-09,0.3028,0.3081,0.3003,0.3029,206515.00000000,2022-12-09 23:59:59.999000064,62918.13530000,549,77394.00000000,23591.72210000,0
2022-12-10,0.3029,0.3299,0.2992,0.3021,2107219.00000000,2022-12-10 23:59:59.999000064,658339.20080000,3858,923209.00000000,289831.68820000,0
2022-12-11,0.3024,0.3065,0.3006,0.3008,169699.00000000,2022-12-11 23:59:59.999000064,51463.11520000,462,85457.00000000,25909.33570000,0
2022-12-12,0.3005,0.3005,0.2885,0.2927,219932.00000000,2022-12-12 23:59:59.999000064,64584.22310000,560,100309.00000000,29441.62610000,0
2022-12-13,0.2933,0.2959,0.2756,0.2904,1082028.00000000,2022-12-13 23:59:59.999000064,310073.01080000,1322,394443.00000000,113826.18690000,0
2022-12-14,0.2907,0.2934,0.2867,0.29,99120.00000000,2022-12-14 23:59:59.999000064,28844.07310000,299,25038.00000000,7292.46600000,0
2022-12-15,0.2898,0.291,0.2817,0.2823,131078.00000000,2022-12-15 23:59:59.999000064,37636.64150000,274,52928.00000000,15274.08460000,0
2022-12-16,0.2824,0.2857,0.2433,0.2486,945345.00000000,2022-12-16 23:59:59.999000064,252426.99020000,1752,294582.00000000,78131.47730000,0
2022-12-17,0.2492,0.2509,0.2365,0.2493,728421.00000000,2022-12-17 23:59:59.999000064,177945.10760000,1170,292448.00000000,71660.05280000,0
2022-12-18,0.2503,0.2543,0.2429,0.2498,296091.00000000,2022-12-18 23:59:59.999000064,73806.10220000,594,116891.00000000,29222.66520000,0
2022-12-19,0.2503,0.2506,0.2334,0.2364,265373.00000000,2022-12-19 23:59:59.999000064,64272.23650000,388,126545.00000000,30411.70320000,0
2022-12-20,0.2347,0.2461,0.233,0.2461,92177.00000000,2022-12-20 23:59:59.999000064,22035.84050000,248,49013.00000000,11636.93800000,0
2022-12-21,0.2444,0.2444,0.2355,0.2396,219707.00000000,2022-12-21 23:59:59.999000064,52750.79270000,440,102158.00000000,24612.08530000,0
